Bacchiatori,Equal,Opposite,EqualPoints,OppositePoints
P,S,O,10,5
B,H,L,10,6
O,T,I,7,10
H,B,G,10,6
M,M,T,8,10
E,P,G,3,10
L,M,S,10,7
G,M,E,3,10
Q,E,S,10,2
T,I,G,8,10
C,L,D,5,10
S,B,E,10,7
D,S,H,5,10
I,I,O,10,0
,P,S,10,8
,T,H,7,10
,E,H,10,4
,G,Q,10,1
,D,E,10,6
,G,L,10,2
,D,B,10,6
,H,Q,10,1
,D,M,10,1
,D,T,10,2
,G,D,8,10
,H,O,10,1
,S,D,2,10
,C,B,11,9
,S,G,4,10
,Q,P,9,11
,Q,T,3,10
,M,P,10,7
,O,M,7,10
,T,L,10,6
,P,I,5,10
,I,L,10,4
,T,O,10,4
,C,T,10,3
,L,E,5,10
,H,D,6,10
,I,C,8,10
,B,H,10,4
,M,I,5,10
,P,B,2,10
,O,Q,10,6
,T,S,10,8
,O,D,2,10
,L,M,10,4
,Q,B,1,10
,P,E,4,10
,B,S,10,2
,T,G,5,10
,G,O,10,1
,L,C,2,10
,H,M,10,4
,E,G,10,6
,G,H,10,7
,D,Q,10,0
,O,L,4,10
,O,B,1,10
,C,Q,10,0
,B,T,10,2
,Q,E,2,10
,L,B,4,10
,I,S,10,3
,M,G,4,10
,Q,M,5,10
,S,C,2,10
,E,O,10,0
,D,I,10,3
,H,C,8,10
,C,D,10,6
,P,H,5,10
,C,P,10,0
,I,H,10,7
,B,I,10,4
,O,P,10,8
,C,E,10,4
,O,C,1,10
,S,L,10,8
,E,T,10,2
,Q,I,2,10
,L,Q,10,2
,C,M,10,2
,M,B,3,10
,E,I,10,5
,P,T,7,10
,D,P,10,0
,L,P,10,3
,G,C,10,8
,Q,S,6,10
